bereitschaftsdienst,m
zeitbereichsvorwahl,f
verrechnungsverkehr,m
sternleitungssystem,n
berechtigungsklasse,f
auswerteeinrichtung,f
nationalsozialismus,m
trennsteckverteiler,m
gleichstromerzeuger,m
absolutaktenzeichen,n
desinfektionsmittel,n
tochtergesellschaft,f
batteriefahrbetrieb,m
bedienungsanweisung,f
erweiterungseinheit,f
aufbereitungsoption,f
verbraucherbewegung,f
hauptstromanschluss,m
tiefseetaucherkugel,f
bildschirmdiagonale,f
kundenrechenzentrum,n
abschreibungsbetrag,m
abenteuergeschichte,f
bedeutungslosigkeit,f
dolmetscherinstitut,n
abschreckungsmittel,n
verkaufsangestellte,m;f
bereitschaftssignal,n
zahlungseinstellung,f
unterrichtsprogramm,n
nachrichtensprecher,m
arbeitsvorbereitung,f
eignungsbeurteilung,f
fertigungssteuerung,f
einscheibenkupplung,f
anwendungsprotokoll,n
benutzerkennzeichen,n
betragsaufbereitung,f
schwefelwasserstoff,m
spiegelreflexkamera,f
qualifikationsrunde,f
ringschieberegister,n
hauptsteuerprogramm,n
speicherbereinigung,f
produktionsprogramm,n
rechenzeitverteiler,m
fernsprechanschluss,m
berechtigungsgruppe,f
feuchtigkeitsmesser,m
buchhaltungstheorie,f
magnetdrahtspeicher,m
dienstgradabzeichen,f
konferenzteilnehmer,m
lichtpunktabtastung,f
datenumschaltsignal,n
multiplexverbindung,f
anforderungszeichen,n
sonderabschreibung,f
metallbeschichtung,f
kontenbestandsband,n
editiertastenblock,m
holzblasinstrument,n
sicherheitsschloss,n
auslassungszeichen,n
geistesabwesenheit,f
bewertungsprogramm,n
verkehrssicherheit,f
schleifenanweisung,f
reibungswiderstand,m
geldausgabeautomat,m
werbesonderangebot,n
speichersortierung,f
fertigungsmaterial,n
freiheitsberaubung,f
signalverarbeitung,f
lichtbildervortrag,m
fallschirmabsprung,f
assoziativrelation,f
leistungsverhalten,n
ehescheidungsklage,f
matrixvereinbarung,f
anzeigengrungpreis,m
kontonummernstelle,f
geschichtsforscher,m
nachrichtenagentur,f
charakterlosigkeit,f
konzernunternehmen,n
unvergleichbarkeit,f
beziehungsreichtum,m
universalgebildete,m;f
schaubudenbesitzer,m
gesundheitszustand,m
durchkontaktierung,f
vertreterprovision,f
weihnachtsgeschenk,n
durchschnittspreis,m
aussendienstleiter,m
resynchronisierung,f
unterhaltungsmusik,f
unterhaltsanspruch,m
entmilitarisierung,f
zusatzvereinbarung,f
sprachwissenschaft,f
programmhaltepunkt,m
revisionsabteilung,f
auftragsabwicklung,f
einfuhrgenehmigung,f
gesellschaftsrecht,n
konzeptualisierung,f
marionettentheater,n
wiedereinschiffung,f
freizeitbekleidung,f
zahnarztbehandlung,f
unwiderruflichkeit,f
kolbenbolzenbuchse,f
zylinderkopfdeckel,m
abfertigungsstelle,f
unzertrennlichkeit,f
verweisungszeichen,n
schlangenhalsvogel,m
prozess-leit-sytem,n
unfallversicherung,f
internationalismus,m
torsionsfestigkeit,f
verkehrsvorschrift,f
entwicklungssystem,n
anwendungsprogramm,n
